Locali,Prezzi,Media prezzo:
"Quadrilocale da ristrutturare, piano rialzato, Centocelle, Roma",€ 169.000,0
"Appartamento via Delle Celedonie, Centocelle, Roma",€ 275.000,0
"Trilocale via Tor de' Schiavi 267, Tor de' Schiavi, Roma",€ 210.000,0
"Bilocale via Tor de' Schiavi, Tor de' Schiavi, Roma",€ 175.000,0
"Quadrilocale via Giovanni Arcangeli, Centocelle, Roma",€ 299.000,0
"Bilocale via dei Platani 52, Centocelle, Roma",€ 199.000,0
"Bilocale via dei Platani 52, Centocelle, Roma",€ 199.000,0
"Trilocale viale Palmiro Togliatti 869, Centocelle, Roma",€ 93.750,0
"Trilocale buono stato, quinto piano, Centocelle, Roma",€ 175.000,0
"Trilocale via del Vivaio, Centocelle, Roma",€ 169.000,0
"Monolocale via delle Acacie, Centocelle, Roma",€ 97.000,0
"Trilocale viale delle Gardenie 171, Centocelle, Roma",€ 320.000,0
"Bilocale via dei Gelsi, Centocelle, Roma",€ 129.000,0
"Bilocale via dei Castani 222, Centocelle, Roma",€ 195.000,0
"Bilocale via delle Palme, Centocelle, Roma",€ 145.000,0
"Trilocale via Vincenzo Menasi, Centocelle, Roma",€ 195.000,0
"Quadrilocale via delle Robinie, Centocelle, Roma",€ 379.000,0
"Trilocale viale Palmiro Togliatti 756, Alessandrino - Torre Spaccata, Roma",€ 260.000,0
"Quadrilocale via dei Platani 12, Centocelle, Roma",€ 298.000,0
"Trilocale via Filippo Smaldone, Centocelle, Roma",€ 215.000,0
"Bilocale piano terra, Centocelle, Roma",€ 125.000,0
"Quadrilocale piano terra, Centocelle, Roma",€ 289.000,0
"Trilocale via delle Campanule 20, Centocelle, Roma",€ 195.000,0
"Bilocale via dei Noci, Centocelle, Roma",€ 135.000,0
"Bilocale viale Palmiro Togliatti 756, Alessandrino - Torre Spaccata, Roma",€ 150.000,0
"Trilocale viale Palmiro Togliatti 756, Alessandrino - Torre Spaccata, Roma",€ 210.000,0
"Quadrilocale via Tor de' Schiavi, Tor de' Schiavi, Roma",€ 210.000,0
"Bilocale via Calpurnio Fiamma, Cinecittà, Roma",€ 185.000,0
"Trilocale viale Marco Fulvio Nobiliore 153, Cinecittà, Roma",€ 279.000,0
"Appartamento via delle Vitalbe, 8, Centocelle, Roma",€ 74.100,0
